NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.1,0.2,0.2,0.10897705920709992,0.5836027007694791,0.08004041869814457,0.6941545201637532,-32.9,10.024470060806213,242.6,23.854559312634564,0.42257641735317747,,,,
0.001,0.1,0.3,0.3,0.10079466513893771,0.651452749306001,0.07635093390796298,0.7451644428919099,-43.300000000000004,10.756858277396802,328.95,23.040128037838684,0.3076086608916565,,,,
0.001,0.1,0.4,0.4,0.09263881971454373,0.7089347368963163,0.07346551944304908,0.7768633905055713,-53.65,11.014876304344051,402.05,25.523469591730663,0.20880100844667276,,,,
0.001,0.1,0.5,0.5,0.08726527345419985,0.7534147245797678,0.07108115052710616,0.7978710004462307,-60.5,11.79618582423997,458.55,26.106464716617623,0.12629895214177758,,,,
0.001,0.1,0.6,0.6,0.08391981808209328,0.781720399369319,0.07128762477261805,0.8097054324724967,-64.75,11.184252321903333,494.55,26.91927747915981,0.071828196347306,,,,
0.001,0.1,0.7,0.7,0.08160461388540391,0.7974569136681626,0.07213031062686343,0.816256804652647,-67.7,11.327400407860578,514.55,27.472668235903104,0.038680961636606996,,,,
0.001,0.1,0.8,0.8,0.08015918554368363,0.812301503959398,0.07554977443411995,0.8207512974686869,-69.55,11.097184327567062,533.45,28.79839405244672,0.014377869067141624,,,,
0.001,0.1,0.9,0.9,0.08192882344650276,0.8187057330926717,0.08002939649698822,0.8224051798682611,-67.3,10.602358228243377,541.6,29.07645095261799,0.005224308866245348,,,,
0.001,0.2,0.001,0.001,0.15201448346189045,0.30737082145474365,0.17147795232831828,0.1135799017959261,21.75,8.311889075294497,-108.45,16.001484306151106,0.652782527239425,,,,
0.001,0.2,0.015,0.015,0.14771370869564568,0.3329632551364535,0.15774268119028706,0.20570759473415393,16.299999999999997,8.044252606675157,-75.95,15.242949189707344,0.6126495920502417,,,,
0.001,0.2,0.1,0.1,0.13636821649338265,0.4134537864675358,0.1292587088250736,0.39975897531606486,1.8999999999999975,9.131812525451892,26.299999999999994,16.71855256892773,0.48783663030435287,,,,
0.001,0.2,0.2,0.2,0.12754032234939564,0.4784179099136022,0.11334894818321202,0.5038744179884176,-9.350000000000007,11.451091651017387,108.99999999999997,19.77877650412178,0.3810427377164797,,,,
0.001,0.2,0.3,0.3,0.12050189656643455,0.5326686220963905,0.10551510998244233,0.5691096314835523,-18.300000000000004,12.755783002230796,178.05,25.281366656096736,0.2873234483783457,,,,
0.001,0.2,0.4,0.4,0.11332334976421551,0.5838731121036054,0.09985721662935869,0.616946180846198,-27.4,12.499599993599798,243.15,26.12522727173871,0.19832767550948874,,,,
0.001,0.2,0.5,0.5,0.10822527958246182,0.6253689621489664,0.0953451521334304,0.6504907392653775,-33.9,13.303758867327687,295.85,24.87222346313252,0.12149044822673596,,,,
0.001,0.2,0.6,0.6,0.10499689717042944,0.6522172204373776,0.09413926900874725,0.6697209708710118,-38.0,12.449899597988734,330.0,26.404545063303015,0.07021707482456599,,,,
0.001,0.2,0.7,0.7,0.10276176030979274,0.667244355805505,0.09422036374061829,0.6806891895658317,-40.85,12.21177710245319,349.1,27.2468346785457,0.038248318515860705,,,,
0.001,0.2,0.8,0.8,0.10123777616074339,0.6819306369016412,0.09699082287685608,0.6884345018994025,-42.8,11.868445559549913,367.8,28.494911826499838,0.014181784750399445,,,,
0.001,0.2,0.9,0.9,0.10296768469304667,0.6882173156527259,0.10117729660183598,0.6912306616604396,-40.6,11.226753760548954,375.8,29.381286561347178,0.005224308866245348,,,,
0.001,0.3,0.001,0.001,0.16247461030680133,0.2597504115524822,0.1830746407143408,0.07411538816669527,35.0,11.027239001672179,-169.0,15.757537878742355,0.5402472581392675,,,,
0.001,0.3,0.015,0.015,0.1588069734829652,0.2802601193330419,0.17318727127324693,0.1352859738291206,30.35,11.005793928654123,-142.95,17.39676694101522,0.507675072144195,,,,
0.001,0.3,0.1,0.1,0.14985952412980869,0.3402046062691407,0.1526298984626126,0.27346602528724157,18.999999999999993,10.968135666557014,-66.8,17.24122965452291,0.4140842495314333,,,,
0.001,0.3,0.2,0.2,0.14288135174996994,0.3884951772125367,0.13870478177836784,0.36159692085192,10.099999999999994,13.401119356232899,-5.299999999999996,19.481016400588548,0.3339017813250257,,,,
