NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.1,0.001,0.001,0.10333021817947123,0.38294372841298335,0.11579266767169523,0.11919703801588286,8.200000000000003,6.867313885355761,-128.35,28.604676191140488,0.8171672697781777,,,,
0.001,0.1,0.015,0.015,0.09985338646128011,0.42015043064667623,0.09475507560902834,0.3285471345319652,0.2499999999999977,8.49043579564677,-43.24999999999999,35.42439131446016,0.7594951212132169,,,,
0.001,0.1,0.1,0.1,0.08845769435396572,0.5377118608608422,0.06541387033005377,0.6299834873305545,-25.85,10.508448981652815,225.95,46.59128137323552,0.5650306829130919,,,,
0.001,0.1,0.2,0.2,0.07995825970501938,0.6306588549407608,0.05758797708882618,0.7296340919417489,-45.3,12.510395677195826,438.75,41.43172093939621,0.4061118113525965,,,,
0.001,0.1,0.3,0.3,0.07413343479472626,0.6961736473134561,0.05483634566473613,0.7744425052606687,-58.65,11.1547075264213,588.7,40.20708892720284,0.2886365058036194,,,,
0.001,0.1,0.4,0.4,0.06854186111292117,0.7448425621288816,0.05314920223348096,0.7995780285447371,-71.45,11.770620204560164,700.1,43.955545725198334,0.1995661534628824,,,,
0.001,0.1,0.5,0.5,0.0636502442811647,0.7819514069147446,0.05176221213916783,0.8163967352179771,-82.65,11.83332159623831,785.05,43.99485765404858,0.12608215679769602,,,,
0.001,0.1,0.6,0.6,0.0603526058441478,0.8091008737945071,0.051075903307352864,0.8279791330043291,-90.2,11.994165248152951,847.2,43.46906946324017,0.06744520544483837,,,,
0.001,0.1,0.7,0.7,0.05895062471630641,0.8264529935617471,0.052678103416255694,0.8350274825136118,-93.4,12.289833196589774,886.85,36.84871096795657,0.02810752462663546,,,,
0.001,0.1,0.8,0.8,0.05921107044899293,0.8339671911376604,0.05601978912298803,0.8380935163651078,-92.8,13.170421405558749,904.05,36.122672935429364,0.009881849686308031,,,,
0.001,0.1,0.9,0.9,0.060414150616382625,0.8366348874427805,0.05895312039314502,0.8389700144628568,-90.05,13.617910999856036,910.15,35.96981373318469,0.004501301278453135,,,,
0.001,0.2,0.001,0.001,0.11001548046618899,0.33827462068884206,0.13101706306243965,0.06892793774104874,23.499999999999993,9.43663075467086,-230.6,32.69617714657175,0.7105883450531634,,,,
0.001,0.2,0.015,0.015,0.10713138060346498,0.3693787988131385,0.11613574908812138,0.20034423694960424,16.9,10.577806956075538,-159.45,38.51165408029107,0.6625847572948123,,,,
0.001,0.2,0.1,0.1,0.09828918472906407,0.46221285413826446,0.08831434074595541,0.4524216193677497,-3.3500000000000028,12.013638083444997,53.1,38.98320151039421,0.5076678466930777,,,,
0.001,0.2,0.2,0.2,0.09099244283736375,0.5394943119382188,0.07743889266611706,0.5699497154343145,-20.050000000000004,13.392068548211657,230.04999999999995,38.17784043132874,0.3736130522257057,,,,
0.001,0.2,0.3,0.3,0.08586661337366207,0.5972022820698506,0.07214281920742519,0.6315443609491795,-31.8,12.18851918815407,362.15,41.17799776579723,0.26907768424533773,,,,
0.001,0.2,0.4,0.4,0.08047220527166485,0.6419187153920254,0.06881529847573892,0.6686383856931545,-44.15,12.931647226861706,464.5,44.88819443907271,0.18732702704454401,,,,
0.001,0.2,0.5,0.5,0.07584306850960926,0.6760358561051183,0.0663205725869728,0.6940970385506924,-54.75,13.486567391297164,542.6,47.08545422951757,0.11952152856480144,,,,
0.001,0.2,0.6,0.6,0.07296011312363382,0.7011763539558111,0.06484838160686424,0.7119293395177384,-61.35,13.879030945999075,600.15,47.333154342384546,0.06508183105922127,,,,
0.001,0.2,0.7,0.7,0.0716891659960263,0.7177396390524373,0.06581158323118894,0.7231198753671739,-64.25,14.155829188005912,638.0,43.082479037307,0.02751735408609355,,,,
0.001,0.2,0.8,0.8,0.0719275269230591,0.7251444302801942,0.06885492223110772,0.7281065159155834,-63.7,15.03695447888302,654.95,42.977290514875435,0.009772163651828064,,,,
0.001,0.2,0.9,0.9,0.07306463139094133,0.7277461508858067,0.07165807208416329,0.729554615146956,-61.1,15.218081350814238,660.9,43.303464064668084,0.004457590943480661,,,,
0.001,0.3,0.001,0.001,0.11742157313269923,0.29001130140375214,0.13664110534173543,0.04382610725882558,40.449999999999996,11.681074436882932,-341.1,33.82292122215348,0.5915625959430872,,,,
0.001,0.3,0.015,0.015,0.11495189785275299,0.31615955766000453,0.1269114937866735,0.1292300666299757,34.8,11.49173616125953,-281.3,35.109970093977594,0.5512479346761869,,,,
0.001,0.3,0.1,0.1,0.10800882689859552,0.3851806280865712,0.10698689830063904,0.30910460244029003,18.9,13.160167172190478,-123.3,38.33810115276971,0.43455316459266413,,,,
0.001,0.3,0.2,0.2,0.10265851258343986,0.44020597649851184,0.09648571687201132,0.4123383646652707,6.65,13.639189858638964,2.64999999999999,34.881621235257995,0.33552370718056956,,,,
0.001,0.3,0.3,0.3,0.09827629720343348,0.48639766913420096,0.09001087414152278,0.4794605096281127,-3.400000000000001,12.709838708654013,108.4,32.536748454632054,0.2501079932721323,,,,
0.001,0.3,0.4,0.4,0.09342575396246741,0.5258319647811612,0.08544704966161489,0.5254505148799613,-14.499999999999996,12.447891387700972,198.64999999999998,36.5298165886444,0.1774191491372892,,,,
0.001,0.3,0.5,0.5,0.08934487412136055,0.5569710229069714,0.08196527499898329,0.5591348261344169,-23.85,12.681778266473517,269.95,35.84755919166604,0.11457899296769,,,,
0.001,0.3,0.6,0.6,0.08672462643003917,0.5807565590437165,0.07968625119583936,0.5834208957159781,-29.850000000000005,13.054788393535913,324.4,36.899051478323955,0.06302577978215418,,,,
0.001,0.3,0.7,0.7,0.08545300187389263,0.5968597445273766,0.08008682387350427,0.5989080836214542,-32.75000000000001,13.156272268389706,361.2,35.43105982044572,0.02690429872817926,,,,
0.001,0.3,0.8,0.8,0.08571348669473075,0.6041765908704152,0.08280037522227301,0.6059327300155835,-32.15,13.631856073183874,377.95,37.22697274826414,0.00955369603337049,,,,
0.001,0.3,0.9,0.9,0.0867634968765928,0.6066690540694403,0.08541700675573764,0.6079409830031434,-29.750000000000007,13.468017671506079,383.65,38.276983945969405,0.004457590943480661,,,,
0.001,0.4,0.001,0.001,0.12324976712859911,0.24387262191012496,0.13788427386306262,0.03153691891608741,53.8,12.32314894821937,-446.7,35.73527668844892,0.48977802500590684,,,,
0.001,0.4,0.015,0.015,0.12136895871769908,0.2654773132837315,0.13143441373745518,0.09046851870540754,49.5,12.314625451064279,-397.3,35.54729244260384,0.45645537426104027,,,,
0.001,0.4,0.1,0.1,0.11617489271340486,0.3183311826544928,0.11704895859137618,0.2182631624081141,37.599999999999994,12.571396103854179,-276.25,35.524463401999476,0.3677939837255709,,,,
